"departement","annee","nombre_ventes","prix_median","prix_moyen"
75,2021,34675,10968,11415
75,2022,37146,10857,11408
75,2023,30025,10283,10871
75,2024,27756,9706,10345
75,2025,31638,9833,10475
77,2021,30615,3230,3781
77,2022,28047,3444,3970
77,2023,20340,3339,3862
77,2024,17630,3137,3679
77,2025,19887,3117,3605
78,2021,26512,4057,4863
78,2022,24466,4262,5079
78,2023,17845,4194,5055
78,2024,15120,3962,4753
78,2025,17669,3910,4614
91,2021,22587,3418,4073
91,2022,21496,3582,4202
91,2023,15533,3464,4202
91,2024,13647,3248,3898
91,2025,15473,3250,3961
92,2021,26842,7281,7853
92,2022,26741,7372,8015
92,2023,19993,7065,7728
92,2024,17369,6646,7206
92,2025,20214,6634,7186
93,2021,22034,4327,5281
93,2022,20918,4453,5291
93,2023,15911,4250,5179
93,2024,14216,4214,5448
93,2025,15776,4225,5300
94,2021,21134,5232,6113
94,2022,20610,5478,6320
94,2023,15739,5250,6147
94,2024,14193,5086,5854
94,2025,15422,4925,5775
95,2021,20409,3656,4532
95,2022,18744,3794,4374
95,2023,14067,3643,4177
95,2024,12256,3542,4309
95,2025,13047,3450,4062
